iter	RMSE
0	5.134712542
1	5.034679612
2	4.9392726
3	4.852288998
4	4.777552454
5	4.682150065
6	4.597680163
7	4.513585002
8	4.426820644
9	4.356179193
10	4.278514188
11	4.199433901
12	4.128297879
13	4.052440099
14	3.972079001
15	3.891236203
16	3.818293319
17	3.750032419
18	3.680493167
19	3.612382817
20	3.545397358
21	3.480677896
22	3.420408493
23	3.364900886
24	3.310305255
25	3.262051955
26	3.202189643
27	3.151400032
28	3.100024497
29	3.046979722
30	2.992227376
31	2.947792105
32	2.897203661
33	2.85553139
34	2.806870117
35	2.76911215
36	2.734208884
37	2.69265186
38	2.653979174
39	2.615232487
40	2.580907987
41	2.545182315
42	2.50341913
43	2.470423856
44	2.430666459
45	2.391982079
46	2.356339147
47	2.318371892
48	2.287927016
49	2.256872454
50	2.224640159
51	2.193593712
52	2.165695272
53	2.133590061
54	2.101011825
55	2.075933021
56	2.045708061
57	2.020924163
58	1.996117104
59	1.969389711
60	1.947147969
61	1.920013275
62	1.898259635
63	1.873095342
64	1.853064893
65	1.831384833
66	1.811050294
67	1.790634402
68	1.772207105
69	1.75404196
70	1.735835991
71	1.716692648
72	1.696809251
73	1.680848233
74	1.665083673
75	1.649301328
76	1.633210588
77	1.61372211
78	1.599301923
79	1.586473863
80	1.570658371
81	1.55514536
82	1.540894063
83	1.52700529
84	1.512468307
85	1.499453621
86	1.484880225
87	1.469714079
88	1.457445441
89	1.447603389
90	1.435794575
91	1.423835457
92	1.412843118
93	1.404011396
94	1.3910467
95	1.379094597
96	1.368772638
97	1.358020842
98	1.349644629
99	1.339944598
100	1.330259788
101	1.324241526
102	1.314608686
103	1.306847942
104	1.295381704
105	1.286210275
106	1.277808625
107	1.268760959
108	1.260376114
109	1.252465829
110	1.243406836
111	1.232808676
112	1.224904589
113	1.218165227
114	1.211686958
115	1.204087526
116	1.1978231
117	1.191513657
118	1.184893174
119	1.178049827
120	1.172941491
121	1.16593186
122	1.159253168
123	1.152192013
124	1.146414249
125	1.140866173
126	1.132370657
127	1.124632618
128	1.119499184
129	1.114603631
130	1.106497278
131	1.101344109
132	1.096832782
133	1.091992019
134	1.088027684
135	1.083442387
136	1.077887948
137	1.073248994
138	1.068992743
139	1.065330747
140	1.059675775
141	1.054160669
142	1.050326299
143	1.043935334
144	1.040018717
145	1.035505422
146	1.026890371
147	1.019176865
148	1.015739842
149	1.012425334
150	1.008922717
151	1.004877565
152	1.001302779
153	0.9964240419
154	0.9907249933
155	0.9865812369
156	0.9836510008
157	0.9792991306
158	0.9750689541
159	0.9713099631
160	0.967806713
161	0.9651504898
162	0.9610994809
163	0.9581423755
164	0.9555287917
165	0.9524283155
166	0.949876099
167	0.9468305899
168	0.9442910656
169	0.9379745888
170	0.9350639643
171	0.9325516194
172	0.9296372346
173	0.9276383209
174	0.9249975206
175	0.9217457597
176	0.9193719122
177	0.9163491923
178	0.9142191158
179	0.9108321314
180	0.9084150753
181	0.9064102838
182	0.9038885115
183	0.9011858828
184	0.8991528714
185	0.8969381291
186	0.8941305312
187	0.8899068977
