iter	MultiClass
0	1.222140178
1	1.059525914
2	0.9664288535
3	0.9015252375
4	0.8300365859
5	0.7721173548
6	0.7245954187
7	0.671704754
8	0.6443237649
9	0.6135801956
10	0.5774640502
11	0.5464911945
12	0.5203789678
13	0.5005171966
14	0.4818817933
15	0.4600114882
16	0.4388399234
17	0.4199683113
18	0.3974242566
19	0.3772781734
20	0.3611356381
21	0.3435762837
22	0.3255035429
23	0.3159654309
24	0.307756926
25	0.2969435779
26	0.2877254059
27	0.2785027748
28	0.2690889949
29	0.2588325838
30	0.2511367885
31	0.2475375804
32	0.2394677673
33	0.2320495837
34	0.2266464052
35	0.2196836737
36	0.2111054692
37	0.2050035384
38	0.1995633771
39	0.1920251935
40	0.1856068259
41	0.1819686188
42	0.1779392408
43	0.1744602017
44	0.1702110123
45	0.166384368
46	0.1619155017
47	0.1573359753
48	0.1537529704
49	0.1507647595
